elapsed_s,P3.1,P3.2,P3.3,P3.4
0,0,0,0,0
16,1,0,0,0
32,1,1,3,0
48,1,2,3,0
64,2,3,4,1
80,2,3,4,1
96,3,4,4,1
112,3,4,5,1
128,4,5,6,1
144,4,5,6,1
160,4,6,6,2
176,4,6,7,2
192,6,7,8,2
208,6,7,8,2
