elapsed_s,P3.1,P3.2,P3.3,P3.4
0,0,0,0,0
51,2,2,2,0
102,3,4,4,2
153,6,6,5,3
204,6,7,6,3
255,7,9,8,3
306,8,11,9,3
357,9,12,11,3
408,10,14,13,3
459,10,14,13,3
510,10,14,13,3
561,10,14,13,3
612,10,14,13,3
663,10,14,13,3
