elapsed_s,P3.1,P3.2,P3.3,P3.4
0,0,0,0,0
16,1,0,0,0
32,2,2,2,0
48,2,2,3,0
64,2,3,4,0
80,2,3,4,1
96,3,4,5,1
112,3,4,5,2
128,3,5,5,3
144,3,5,5,3
160,4,6,6,3
176,4,6,6,3
192,4,7,6,3
208,4,7,6,3
